网友昵称,搞笑内容
氟西汀配鸡腿,我喜欢把[doge]信资料啥的都设置男的，打王者就会显示男，前两天熬夜匹配到一个黄忠，贼6，打到凌晨两点，他说大兄弟，你是不是单身[doge]，怎么也没人让你睡觉，我老婆催我睡觉了，明天再约，然后!今天！我开语音跟他配合，一出声，吓的直接卧槽，居然是个娘们儿！！然后我一个女人喜欢用程咬金白起的事就暴露了！！
徘徊的老鹰,昨晚吃完饭，儿子兴致勃勃要给我剪指甲，剪一下我是心里咯噔一下，太痛了，回回瞄准了肉给我剪似的。好不容易剪完左手，右手无论如何不能再让他剪了。谁料到这兔崽子来了句：“爸爸你胆子太小了，我给楼下张叔叔剪都剪流血了他也不吭声，还一直对着我笑呢！”
天热打鼓球,朋友做生意缺点钱，找我借一万块。我说都是兄弟，什么借不借的就当我投资了，赚了把本钱还我，亏了就算了！万万没想到啊，短短的十年，这一万块钱，他居然真的没还！
柯南一一梦,我姐告诉我“自从她在朋友圈里发了一张我的征婚照后，她的那些未婚闺蜜就慢慢的和她疏远开了”！
五音阁主,公司最近要招暑假工，我想到正在上大一的表妹。结果表妹在公司干了两天，就嚷嚷着要走。问她缘由，她非常诗意:我不喜欢待在密闭的办公室里，我喜欢自由自在的环境。可以自由吹着风，呼吸着新鲜的空气，然后享受工作。于是她果断辞职，这是个诗人啊，咱不能阻止她追寻梦想。后来，我知道了她的新工作。那天，她在大街上发传单，某某房产！
爱你的猪猪，,怀孕9个多月，在考虑给宝宝取什么名字，姓朱，属猪，我开玩笑说给宝宝叫佩琦好不好，结果没有人反对，我该咋办，好后悔，想改都改不了了，为宝宝担忧，有个这么不靠谱的爸妈，和爷爷，唉。
猪头小小败,什么叫洁癖就是我哥们新交了个女朋友，发现她在上大号的时候边玩手机边吃瓜子他就吐了。第二天分手
晓通同学,同事的女朋友怀孕了，听说说已经三个月没来事了，因为他女朋友总月经不调所以没当回事，现在都三个月了就用早早孕验了下结果怀孕了，去医院检查已经怀孕7周了。。。。现在，我手上正拿着他两个月前出差25天的行程表不知道要怎么办。在线等挺急的。
小小舒的麻麻,老公和他大伯整理粮仓发现一窝小老鼠还没睁眼那种，被他大伯踩死了。然后回来跟我说那老鼠好可怜，我说是啊怎么不拿回来炸着吃呢！
饮最烈的酒、艹最爱…,"我记得，在我还没出生的时候。上帝就告诉我，你以后的家庭会比较富裕，人长的也白也帅。会有很多女孩子喜欢你。可是最后陪你步入婚姻殿堂的新娘家庭并不富裕，皮肤黑黑的，五官也不够美丽。我听完急坏了，我说：上帝，我不希望我未来的新娘是这个样子。上帝回答到：这个无法更改，已经注定。于是我毫不犹豫的告诉上帝：要不我和她换一下。让我出生后的家庭普普通通，让我的皮肤黑黑的，相貌一般就好，也不要那么多女孩子喜欢我。上帝思考了一会我答道：你确定要和她交换？我回道：确定，因为我希望我未来的新娘是一个皮肤白白的，相貌美丽
…"
慧宝.,"最近身体欠佳,特别容易困!领导来视察的时间,我正好哈欠连天,平时和这领导关系不错,他拍着我肩膀说:“年纪不小了,别劳累过度,身体重要呀,”我诚惶诚恐的回:“没劳累,应该的,领导更辛苦!”领导笑笑:“我想辛苦,你让吗?”卧槽,这话怎么接?"
可爱到家了,大学里有一个天然呆的男同学！平时不大说话，憨憨的。大一时我们寝室有个女生暗恋他，好不容易约他出来。池畔，杨柳青青，紫藤花开，大好春光，女生脸微红，低头，摆弄衣角：“嗯……”男生恍然大悟，点点头：“要借多少？”
暗骚不明贱,一次飞机上空姐发盒饭，坐我旁边的女孩弱弱地问：多少钱一盒？空姐非常豪爽地说：我请客！女孩连声“谢谢”接了过去。。。等空姐推饮料车过来的时候，我对那女孩说：“我请你喝饮料。”然后抬头对空姐说：“她要一杯橙汁，我要一杯可乐。”看着女孩那感激的眼神，我留下了她的电话号码。
918疯狂英子,小时候吃康师傅方便面总是要把酱包挤几遍，生怕留下一点，而现在则是随便一捏，出来多少算多少……
人尽茶凉,男朋友是学自由搏击的，占有欲特别强，爱吃醋，经常和我说，如果我和别的男人太亲密，他肯定会忍不住动手。有一天我哥难得有空陪我逛街，我一路挽着他胳膊。突然有人拍了一下我哥肩膀，我哥刚转头，一个拳头迎面而来，他反应极快，头一偏，身子一转就把对方扣住了，一抬头，我男朋友！我男朋友也懵了:“教练？”
撞死一只羊,我们在办公室举办饺子宴， 经理让我这个离家最近的回去拿个铁锅。 为了不使我家铁锅丢人， 我里里外外给擦了个干净，老爸拿着焕然一新的铁锅看了片刻不住的点头， 郑重地说：你们公司还借什么，咱都借！
老巫婆～～,群里一男的发照片，看完我随口赞了一句：挺帅的呀！那男的谦虚地说：不帅，不帅，随便长的！另一个马上蹦出来说：随我，随我！那男的马上就怒了：你TM谁啊？另一个：我你爸！然后就风平浪静了……
五音阁主,我读小学时，我们语文老师是个气质非常优雅的大美女。那天在课间休息，语文老师她老公来找她，在走廊拐角处窃窃私语:亲爱的，我们晚上加个班，今晚保证让你满意。语文老师羞红了脸:讨厌，不要说这个！我刚好路过听到他俩对话，那时候单纯，我很生气对她老公讲:老师平时上课那么辛苦，晚上你还要让她加班，你想累死她吗！呸，渣男......................
风的季节α,在图书馆自习，有个妹子穿皮裤子。。。。。我一看见皮裤子就会想到妹子放屁咋整，晚上回去一脱裤子，会不会想扔了。。。
神圣傻子,嗨大家好，今天第一次发帖，大家还不熟你们就叫我老婆吧
宁夏大千食界餐饮,和兄弟喝茶，我说无聊的很，整点刺激的的事儿。兄弟说我带你偷西瓜走，就看你敢不敢？我说有啥不敢的!兄弟开车七拐八绕的来到一个瓜棚里，我偷了一个就想撤，兄弟说要想刺激就多偷几个...刺激过后，我开始懊悔和不安了...听见兄弟打电话，我带俺哥在你瓜棚里偷了五个西瓜，我把红包发给你了，你收了...
石锅拌着饭,和媳妇儿出门玩，游完泳才发现底裤只有一条独苗苗。不穿吧，总有种风吹屁屁凉，二伯尽哐当的感受。媳妇儿灵机一动，老公，把我的挂上吧！也不知道是不是老天爷故意捉弄，出门就一脚踩钉子上，火急火燎的赶往医院打破伤风。护士妹子盯着我的蕾丝花边一下笑岔了气，一针扎下去，歪了……
莫纳的世界,老公应聘去了，问有什么特长，他写:会钢琴，初级！我擦，你真敢写，按了几天电子琴就……
dxaiofcu,听同事说的，给她儿子换裤子，小孩6岁，她儿子嫌裤子有点破，同事把腿一伸，你看妈妈的裤子也是破的，这是时尚！（她穿的是破洞牛仔裤）她儿子一看乖乖的穿上去了！
李云龙先生,中午，天气酷热。7栋宿舍楼下，一男孩捧着鲜花在向一个女孩表白。热闹的人群围住他们。然后我本着段子精神大声带头喊：在一起，在一起。人群跟着我喊起来。当女孩羞涩的去扶起单膝跪下的男子，我才看清，妈的，那是我女朋友啊。
哈和嗨,老婆的闺蜜我也认识，今天她出嫁了，老婆出差不能去，让我过去随礼，中午我趁着下班的时候赶紧随礼，写上老婆的名字，走进大厅，反正都不认识，找了一张桌子埋头一顿猛吃。吃完出去，发现对面厅门口才是写着老婆闺蜜的名字。
小爷复姓欧阳诺一,生理卫生课，老师放男性生殖器幻灯片，女生吓的直尖叫。老师说：同学们不用怕，真的没有这么大!
简若^,晚饭后去同事家串门玩，一进门看见同事正在练一字马，我笑了问他这么大人了还有这爱好啊？同事委屈的回:我闺女自从报了舞蹈班，每天回家都得让我跟她学，我不学她就哭，我练不好，她就打我，嫌我笨！你还别说，自从练了这个后我的腰间盘都治好了，记得上次咱公司才艺展示会吗，我拿了第一名，不说了我继续练……
全糗第二不好惹,哈哈哈前两天一同学发了个朋友圈说双十一找到男朋友就手写名字1000遍，昨儿刚找到对象了，叫韩汲冰鑫，没错四个字，没错三金鑫
小猴子(houdk…,明星分手为什么都要发微博呢？网友神回复：就像出租车司机在乘客下车后都会打起空车灯一样，告诉你可以继续载客了!
萌萌哒逗兔子,女儿是大学一年级新生，有一次在家书里谈到我的老本行天文学。信里说：爸，你总以为从前给我讲解星座时我不用心听。但前几天晚上我和一个普通朋友散步，我把北斗七星和猎户座指给他看了，你知道了一定很开心吧？ 我在回信中说：的确很开心。前几天夜里我和你妈妈散步，也看到北斗七星。但我们并没有看见猎户座，因为每年这个时候猎户座要到凌晨一点才出现。你那个“普通朋友”是谁？？！！
请输入娃娃,"说起嘴毒，难得回顾一下，发现我真的是有毒小时候，想吃鸡了，但是奶奶每次都会驳回，我就会想念一下，隔天就会在角落发现它的遗体。后来奶奶就不准我再说想要吃鸡的话了长大以后，交了个男朋友，后来发现自己变色了，伤心伤肺中不忘想念了几天，后来听说他在那段时间出车祸了，这大概就是你让我伤心，我便让你伤身吧。隔年我被一个阿姨撞了，躺了半个多月，她一点儿事儿没有，关键是她还不乐意，非得找麻烦。我不免偷偷想了两天，时隔半个月之后，那阿姨在同一个地方，以她那神乎其神的车技再次撞了人，嗯，这回换她住院了所以，
…"
猪头小小败,姐姐怀孕的时候加了一个孕妇群有一天，群里一个妹儿想吃火锅，怕上火家里不许她吃。她在群里发了很多火锅照片，说着说着都哭起来了一个晚上群里的孕妇们饿得辗转难眠第二天相约一起吃火锅去。最开始还婉约的点了鸳鸯锅。后来发觉根本没有人吃白锅
（圣虚）楚风,小时候我从来都不护食，门口的叔叔，大伯，婶子，大娘跟我要吃的，我都会毫不犹豫的递给他们，因为我知道他们不会吃的……直到有一天，我拿着苹果出门，碰见门口的一嫂子“呦，拿的苹果呀，让嫂子吃一口吧”我就递给她了，万万没想到，她居然吃了，“嗯，这个苹果真甜，你在回家拿一个吧”就这样她吃着我的苹果走了，楼主强忍泪水走回了家……
