win,lose,probability
Golden State Warriors,Phoenix Suns,0.9553544980376684
Atlanta Hawks,Sacramento Kings,0.7244552260386345
Chicago Bulls,Brooklyn Nets,0.8634386669239668
Los Angeles Clippers,Phoenix Suns,0.8882873012699412
Toronto Raptors,Denver Nuggets,0.8115013807449765
Cleveland Cavaliers,Houston Rockets,0.7740316403065223
Detroit Pistons,New York Knicks,0.6941449763565634
Indiana Pacers,Los Angeles Lakers,0.903795187453465
Miami Heat,Sacramento Kings,0.7323444819938462
Memphis Grizzlies,Minnesota Timberwolves,0.6748319200147381
Milwaukee Bucks,New Orleans Pelicans,0.5244182677829199
Orlando Magic,Philadelphia 76ers,0.9146584067514202
Golden State Warriors,Portland Trail Blazers,0.8222395055387699
San Antonio Spurs,Utah Jazz,0.8238852475789628
Atlanta Hawks,Los Angeles Lakers,0.9240614181727088
Boston Celtics,Chicago Bulls,0.6064915779539594
Detroit Pistons,Brooklyn Nets,0.8675551356550635
Charlotte Hornets,Philadelphia 76ers,0.9555582287962114
Oklahoma City Thunder,Los Angeles Clippers,0.5516559065451592
Memphis Grizzlies,New Orleans Pelicans,0.6276350461273811
Houston Rockets,New York Knicks,0.6588307244205494
Portland Trail Blazers,Phoenix Suns,0.8749301469382537
Utah Jazz,Dallas Mavericks,0.5176386364146481
Toronto Raptors,Washington Wizards,0.7045358591210531
Cleveland Cavaliers,Boston Celtics,0.6636633327864767
Golden State Warriors,Oklahoma City Thunder,0.6902141811215601
Indiana Pacers,Milwaukee Bucks,0.740281437578616
Denver Nuggets,Minnesota Timberwolves,0.6056950314734534
Orlando Magic,Sacramento Kings,0.5164112708456238
Charlotte Hornets,Brooklyn Nets,0.8993674889961609
Chicago Bulls,New York Knicks,0.7186645073037642
Portland Trail Blazers,Dallas Mavericks,0.636294010095561
Golden State Warriors,Los Angeles Lakers,0.9760615655516037
Los Angeles Clippers,Memphis Grizzlies,0.7166387961703466
New Orleans Pelicans,Phoenix Suns,0.6144240014372172
Toronto Raptors,Miami Heat,0.6252839774744179
San Antonio Spurs,Utah Jazz,0.7948763473735697
Atlanta Hawks,Washington Wizards,0.6253509683386309
Atlanta Hawks,Houston Rockets,0.6199308488542946
Detroit Pistons,Denver Nuggets,0.6511584981686188
Indiana Pacers,Chicago Bulls,0.5205763241674897
Sacramento Kings,Milwaukee Bucks,0.5812238016358943
Oklahoma City Thunder,Minnesota Timberwolves,0.8648919975199151
Washington Wizards,Orlando Magic,0.612561780827263
Cleveland Cavaliers,Philadelphia 76ers,0.9804700681037036
San Antonio Spurs,Los Angeles Clippers,0.6963435304564867
Boston Celtics,Denver Nuggets,0.7468147583694691
Dallas Mavericks,Milwaukee Bucks,0.6730014938500981
Phoenix Suns,Los Angeles Lakers,0.6781272056218176
Portland Trail Blazers,Memphis Grizzlies,0.6820790996600685
Utah Jazz,New York Knicks,0.6590538853590802
Toronto Raptors,Sacramento Kings,0.8078772680818045
Chicago Bulls,Orlando Magic,0.6498795190408768
Charlotte Hornets,Indiana Pacers,0.5519443088960967
Golden State Warriors,New Orleans Pelicans,0.9257022496432554
Los Angeles Clippers,Detroit Pistons,0.6443877849123171
Oklahoma City Thunder,Miami Heat,0.6455985220765169
Utah Jazz,Philadelphia 76ers,0.9399084691550713
Washington Wizards,Houston Rockets,0.5018505111454938
Minnesota Timberwolves,Brooklyn Nets,0.7080675093291524
Cleveland Cavaliers,Atlanta Hawks,0.6707308231785569
Dallas Mavericks,Los Angeles Lakers,0.8816096235618467
Memphis Grizzlies,Denver Nuggets,0.5712682854850168
Portland Trail Blazers,Phoenix Suns,0.8070986952594713
Sacramento Kings,New Orleans Pelicans,0.5501738035199486
Atlanta Hawks,Chicago Bulls,0.584453348335447
Charlotte Hornets,Utah Jazz,0.610580775342452
Golden State Warriors,Dallas Mavericks,0.8604779927294556
Indiana Pacers,Philadelphia 76ers,0.94520967832361
Los Angeles Clippers,Portland Trail Blazers,0.5568925985222023
New York Knicks,Brooklyn Nets,0.7151541801846985
Oklahoma City Thunder,Toronto Raptors,0.5424418271052722
Orlando Magic,Minnesota Timberwolves,0.5982582595496122
Detroit Pistons,Phoenix Suns,0.8291155625637829
San Antonio Spurs,Houston Rockets,0.8240292818113253
Boston Celtics,Washington Wizards,0.6327780598102056
Golden State Warriors,Denver Nuggets,0.9111973907734688
Miami Heat,Chicago Bulls,0.5941052216035858
New Orleans Pelicans,Milwaukee Bucks,0.5172987829851812
Sacramento Kings,Los Angeles Lakers,0.8138131889523306
Boston Celtics,New York Knicks,0.7819608409179898
Toronto Raptors,Charlotte Hornets,0.6048336654827113
Oklahoma City Thunder,Los Angeles Clippers,0.5823987396818002
Utah Jazz,Orlando Magic,0.6017445567443509
Indiana Pacers,Philadelphia 76ers,0.9521721662984324
Portland Trail Blazers,Sacramento Kings,0.6486963134582602
San Antonio Spurs,Detroit Pistons,0.7958169351547274
Cleveland Cavaliers,Washington Wizards,0.7612893180344794
Atlanta Hawks,Philadelphia 76ers,0.9571651321615097
Chicago Bulls,Washington Wizards,0.5486285032020393
Detroit Pistons,Denver Nuggets,0.6993882850963704
San Antonio Spurs,Houston Rockets,0.8086510416589221
Boston Celtics,Indiana Pacers,0.579575484716758
Miami Heat,Utah Jazz,0.6290496932217794
Memphis Grizzlies,Milwaukee Bucks,0.6468334428121876
Los Angeles Clippers,Minnesota Timberwolves,0.8380960008412923
New Orleans Pelicans,Los Angeles Lakers,0.7649796473590894
Phoenix Suns,Brooklyn Nets,0.5455737111080176
Toronto Raptors,New York Knicks,0.8395965967834391
Cleveland Cavaliers,Charlotte Hornets,0.676334629360494
Golden State Warriors,Phoenix Suns,0.9561377997793519
Minnesota Timberwolves,Los Angeles Lakers,0.7463827339070535
Oklahoma City Thunder,Orlando Magic,0.8059025571891856
Portland Trail Blazers,Denver Nuggets,0.6540372679376469
Oklahoma City Thunder,Detroit Pistons,0.7031115174794464
Houston Rockets,Philadelphia 76ers,0.9288047316626153
Indiana Pacers,Orlando Magic,0.6473831665363168
Los Angeles Clippers,Brooklyn Nets,0.9134600959006238
Boston Celtics,New Orleans Pelicans,0.7991479032749337
Dallas Mavericks,New York Knicks,0.6514235710280285
San Antonio Spurs,Miami Heat,0.7497098179372184
Utah Jazz,Memphis Grizzlies,0.5591871531491025
Cleveland Cavaliers,Toronto Raptors,0.5877868794729362
Brooklyn Nets,Los Angeles Lakers,0.6134670047933577
Miami Heat,Atlanta Hawks,0.5023524039862457
Charlotte Hornets,Minnesota Timberwolves,0.8060314444805631
Chicago Bulls,Portland Trail Blazers,0.5030684927297904
Atlanta Hawks,Milwaukee Bucks,0.7722264171285107
Boston Celtics,Dallas Mavericks,0.6487493422759241
Denver Nuggets,Phoenix Suns,0.6535132827435364
Cleveland Cavaliers,Indiana Pacers,0.7184202125494532
Los Angeles Clippers,Memphis Grizzlies,0.7267233818707081
Detroit Pistons,New York Knicks,0.6988071638590719
Oklahoma City Thunder,Houston Rockets,0.7401158258647721
Orlando Magic,New Orleans Pelicans,0.5803584780939751
Washington Wizards,Philadelphia 76ers,0.9424195561966268
San Antonio Spurs,Sacramento Kings,0.8729159654116859
Golden State Warriors,Toronto Raptors,0.6700989183569294
Portland Trail Blazers,Houston Rockets,0.6452747091738951
Miami Heat,Milwaukee Bucks,0.779164846273381
Minnesota Timberwolves,Philadelphia 76ers,0.8438532113269495
Chicago Bulls,Utah Jazz,0.5275655511406616
Washington Wizards,New York Knicks,0.6690233309095509
Golden State Warriors,Boston Celtics,0.7477658587675282
Atlanta Hawks,Charlotte Hornets,0.5172377479660246
Cleveland Cavaliers,Detroit Pistons,0.740329438087177
Dallas Mavericks,Memphis Grizzlies,0.5474037609591366
Toronto Raptors,Denver Nuggets,0.8230637570037298
Indiana Pacers,Phoenix Suns,0.8214046466466318
San Antonio Spurs,Los Angeles Lakers,0.968717655723383
Portland Trail Blazers,New Orleans Pelicans,0.7988074783838389
Oklahoma City Thunder,Brooklyn Nets,0.9324664476609661
Los Angeles Clippers,Sacramento Kings,0.7770506626499971
Boston Celtics,Detroit Pistons,0.6054807311863988
Utah Jazz,Houston Rockets,0.5124698098605407
Los Angeles Clippers,Chicago Bulls,0.6524494269946854
Memphis Grizzlies,Minnesota Timberwolves,0.6447526311842031
Golden State Warriors,Milwaukee Bucks,0.9222062266215486
Charlotte Hornets,New Orleans Pelicans,0.789790288664032
Dallas Mavericks,Orlando Magic,0.5936225134854436
Phoenix Suns,Philadelphia 76ers,0.8105444645714464
Miami Heat,Washington Wizards,0.6081210891045532
Portland Trail Blazers,Brooklyn Nets,0.9042540698708437
Utah Jazz,Denver Nuggets,0.6596743529490596
Chicago Bulls,Los Angeles Lakers,0.8992319683355388
Atlanta Hawks,New York Knicks,0.7645544048338977
Oklahoma City Thunder,Indiana Pacers,0.690904890186111
Toronto Raptors,Sacramento Kings,0.8039255848675091
Charlotte Hornets,Memphis Grizzlies,0.6571935132402966
Detroit Pistons,Houston Rockets,0.5307612656624151
Golden State Warriors,Indiana Pacers,0.8079847956670263
Toronto Raptors,Los Angeles Clippers,0.5245796063513317
Orlando Magic,Milwaukee Bucks,0.6054395743689918
Boston Celtics,Minnesota Timberwolves,0.8148355761447865
Miami Heat,Philadelphia 76ers,0.9606737945933396
San Antonio Spurs,Dallas Mavericks,0.8287329261803015
Washington Wizards,Phoenix Suns,0.7863009400755032
Atlanta Hawks,New Orleans Pelicans,0.7729854835133436
Chicago Bulls,Denver Nuggets,0.6919012781091028
Oklahoma City Thunder,Los Angeles Lakers,0.9537308823092083
Portland Trail Blazers,New York Knicks,0.7698605105249074
Boston Celtics,Brooklyn Nets,0.9044374199720218
San Antonio Spurs,Charlotte Hornets,0.7194277814610992
Cleveland Cavaliers,Portland Trail Blazers,0.6641362811547454
Los Angeles Clippers,Dallas Mavericks,0.6734479626107601
Miami Heat,Detroit Pistons,0.5802068407655299
Golden State Warriors,Los Angeles Lakers,0.9780346593032302
Toronto Raptors,Houston Rockets,0.7161188395585076
Atlanta Hawks,Indiana Pacers,0.5718005115847982
Minnesota Timberwolves,New Orleans Pelicans,0.5048654232547702
Orlando Magic,Phoenix Suns,0.7075722929130014
Memphis Grizzlies,Philadelphia 76ers,0.9274965757153811
Oklahoma City Thunder,Sacramento Kings,0.8205352708892201
Utah Jazz,Denver Nuggets,0.6315176973374278
San Antonio Spurs,Boston Celtics,0.6924527119262038
Cleveland Cavaliers,Dallas Mavericks,0.7797144444786851
Oklahoma City Thunder,Denver Nuggets,0.8383781573781873
Los Angeles Clippers,Detroit Pistons,0.6435353104235846
Indiana Pacers,Brooklyn Nets,0.8592606159510758
Golden State Warriors,Los Angeles Lakers,0.9760615655516037
Miami Heat,Memphis Grizzlies,0.6594244345401186
Toronto Raptors,Milwaukee Bucks,0.8431173618632144
Charlotte Hornets,New York Knicks,0.7599358499606805
Washington Wizards,Orlando Magic,0.612561780827263
Chicago Bulls,Philadelphia 76ers,0.9477025584978583
Minnesota Timberwolves,Phoenix Suns,0.6424184093831776
Portland Trail Blazers,New Orleans Pelicans,0.7051388367673539
Houston Rockets,Sacramento Kings,0.630559686676259
Atlanta Hawks,Utah Jazz,0.6182027855128417
Charlotte Hornets,New York Knicks,0.7589837644034693
Golden State Warriors,Minnesota Timberwolves,0.9306321060231006
Miami Heat,Memphis Grizzlies,0.6746297858676447
Oklahoma City Thunder,Detroit Pistons,0.7032942373237171
San Antonio Spurs,Washington Wizards,0.7997880233341635
Sacramento Kings,Brooklyn Nets,0.7718102618565027
Dallas Mavericks,New Orleans Pelicans,0.6739516162469111
Los Angeles Clippers,Indiana Pacers,0.6185546401289568
Atlanta Hawks,Los Angeles Lakers,0.9282606177858767
Orlando Magic,Milwaukee Bucks,0.5793058672103218
Cleveland Cavaliers,Philadelphia 76ers,0.9804700681037036
Denver Nuggets,Phoenix Suns,0.7099005348571661
Portland Trail Blazers,Houston Rockets,0.5339224390564967
Golden State Warriors,Atlanta Hawks,0.7801867407139341
Charlotte Hornets,Memphis Grizzlies,0.669991612393628
Boston Celtics,Miami Heat,0.5056048358786828
Utah Jazz,Minnesota Timberwolves,0.717314561322721
Oklahoma City Thunder,New York Knicks,0.8380034869841568
Toronto Raptors,Philadelphia 76ers,0.9727806212610715
Washington Wizards,Sacramento Kings,0.6188847344660245
Los Angeles Clippers,Brooklyn Nets,0.9175805372471049
Charlotte Hornets,Detroit Pistons,0.5664080501433153
Cleveland Cavaliers,Milwaukee Bucks,0.8778662618843004
New Orleans Pelicans,Los Angeles Lakers,0.7649796473590894
San Antonio Spurs,Orlando Magic,0.8722410276597108
Utah Jazz,Houston Rockets,0.5094485070016594
Boston Celtics,Detroit Pistons,0.5980206994495466
Chicago Bulls,Los Angeles Lakers,0.9047433705895291
San Antonio Spurs,Dallas Mavericks,0.8025408699242826
Miami Heat,Denver Nuggets,0.7516951418489061
New York Knicks,Minnesota Timberwolves,0.5581895740214813
Oklahoma City Thunder,Washington Wizards,0.7311025533569954
Atlanta Hawks,Phoenix Suns,0.8716426340787432
Indiana Pacers,Portland Trail Blazers,0.5265547356131752
Toronto Raptors,Memphis Grizzlies,0.761137497974231
Milwaukee Bucks,Brooklyn Nets,0.7239829868346936
Charlotte Hornets,Dallas Mavericks,0.6185816582429261
Cleveland Cavaliers,Los Angeles Clippers,0.6265104419511635
Golden State Warriors,Houston Rockets,0.8564952191728964
Memphis Grizzlies,Orlando Magic,0.5406909899254521
Miami Heat,Utah Jazz,0.6008539926671839
Atlanta Hawks,Detroit Pistons,0.5758398473860389
Boston Celtics,Sacramento Kings,0.7423418453035204
Cleveland Cavaliers,Chicago Bulls,0.716199142449745
Houston Rockets,Denver Nuggets,0.6594513882775076
Los Angeles Clippers,New Orleans Pelicans,0.823953247785959
New York Knicks,Minnesota Timberwolves,0.5378951017917376
Orlando Magic,Philadelphia 76ers,0.9146584067514202
San Antonio Spurs,Washington Wizards,0.8172075110132105
Toronto Raptors,Los Angeles Lakers,0.9511287239782976
Charlotte Hornets,Minnesota Timberwolves,0.7791477270673798
Chicago Bulls,Dallas Mavericks,0.5394308741084084
Golden State Warriors,Phoenix Suns,0.9561377997793519
Memphis Grizzlies,Los Angeles Lakers,0.8576236891716817
Milwaukee Bucks,Brooklyn Nets,0.6842610292275707
Boston Celtics,Philadelphia 76ers,0.9644451371794802
Miami Heat,Portland Trail Blazers,0.5771109503862162
Toronto Raptors,Atlanta Hawks,0.6080529483471228
Utah Jazz,Denver Nuggets,0.6315176973374278
Detroit Pistons,Orlando Magic,0.6225139760239548
Los Angeles Clippers,Indiana Pacers,0.6308298642198913
Sacramento Kings,New York Knicks,0.545045724753392
Oklahoma City Thunder,New Orleans Pelicans,0.8560129607973855
Oklahoma City Thunder,Atlanta Hawks,0.621543522121299
Washington Wizards,Brooklyn Nets,0.8509819339382639
Portland Trail Blazers,Chicago Bulls,0.5763867742309841
Charlotte Hornets,Dallas Mavericks,0.6234268257380817
Golden State Warriors,Indiana Pacers,0.8240835686841143
Boston Celtics,Houston Rockets,0.6457597132738042
Utah Jazz,Los Angeles Lakers,0.8850900088789084
San Antonio Spurs,Milwaukee Bucks,0.900032563950595
Memphis Grizzlies,New Orleans Pelicans,0.6523435443439758
Denver Nuggets,Philadelphia 76ers,0.9044766565681063
Cleveland Cavaliers,Toronto Raptors,0.5518881688781153
Chicago Bulls,Detroit Pistons,0.5062426728991902
Memphis Grizzlies,Philadelphia 76ers,0.9170908881977485
Miami Heat,New York Knicks,0.7730307183522264
San Antonio Spurs,Minnesota Timberwolves,0.9107281986131242
Utah Jazz,Phoenix Suns,0.7913640575337378
Washington Wizards,Orlando Magic,0.5949420719339367
Atlanta Hawks,Miami Heat,0.510606287700373
Denver Nuggets,Brooklyn Nets,0.7676415420304306
Charlotte Hornets,Detroit Pistons,0.5664080501433153
Dallas Mavericks,Sacramento Kings,0.6148004085858101
Houston Rockets,Los Angeles Lakers,0.8766089411638046
Golden State Warriors,Los Angeles Clippers,0.7087863700121446
Portland Trail Blazers,Milwaukee Bucks,0.7948888410534455
Cleveland Cavaliers,New York Knicks,0.8611950291705097
Boston Celtics,Orlando Magic,0.7237824021078745
Indiana Pacers,Phoenix Suns,0.8372698723367475
San Antonio Spurs,Chicago Bulls,0.7596742307603372
Portland Trail Blazers,Memphis Grizzlies,0.6820790996600685
New Orleans Pelicans,Philadelphia 76ers,0.856675380890062
Toronto Raptors,Minnesota Timberwolves,0.8543108862816433
Golden State Warriors,Utah Jazz,0.8361277990888598
Washington Wizards,Denver Nuggets,0.6244165080298277
Toronto Raptors,Boston Celtics,0.573374575452325
Charlotte Hornets,Orlando Magic,0.6958851050969912
Cleveland Cavaliers,Miami Heat,0.6866264673512722
Indiana Pacers,Dallas Mavericks,0.5626924649640543
Phoenix Suns,Los Angeles Lakers,0.6781272056218176
Atlanta Hawks,Milwaukee Bucks,0.7900023844419396
Detroit Pistons,Minnesota Timberwolves,0.7528225364452806
Oklahoma City Thunder,Houston Rockets,0.7401158258647721
Sacramento Kings,New York Knicks,0.5403496518835021
Miami Heat,Chicago Bulls,0.5511567219228646
Cleveland Cavaliers,Charlotte Hornets,0.676334629360494
Dallas Mavericks,Houston Rockets,0.5040277356727864
Portland Trail Blazers,Indiana Pacers,0.5790589332328788
Los Angeles Clippers,New Orleans Pelicans,0.8196514274536261
Golden State Warriors,Memphis Grizzlies,0.8677718836760404
Orlando Magic,Denver Nuggets,0.5222823125081291
San Antonio Spurs,Brooklyn Nets,0.9578124339039069
Utah Jazz,Sacramento Kings,0.6260278731883469
Washington Wizards,Milwaukee Bucks,0.6767931287102071
Detroit Pistons,Philadelphia 76ers,0.9393785314189972
New York Knicks,Los Angeles Lakers,0.7931762141747335
Golden State Warriors,Minnesota Timberwolves,0.9307121100207422
Oklahoma City Thunder,Boston Celtics,0.6212871791333218
New Orleans Pelicans,Phoenix Suns,0.6592253880335512
Dallas Mavericks,Denver Nuggets,0.620355098853692
Houston Rockets,Brooklyn Nets,0.8219684714212508
Charlotte Hornets,Indiana Pacers,0.5655494278471238
Los Angeles Clippers,Portland Trail Blazers,0.5568925985222023
Miami Heat,Washington Wizards,0.6184060415197815
Sacramento Kings,Los Angeles Lakers,0.8138131889523306
Toronto Raptors,Milwaukee Bucks,0.8442940634730473
Atlanta Hawks,Orlando Magic,0.7039724296791965
Chicago Bulls,Minnesota Timberwolves,0.7410508056098787
Cleveland Cavaliers,Memphis Grizzlies,0.807101151275863
Golden State Warriors,New Orleans Pelicans,0.9239252640829803
New York Knicks,Phoenix Suns,0.668069545423111
Oklahoma City Thunder,Portland Trail Blazers,0.7004540747219
Brooklyn Nets,Los Angeles Lakers,0.5777692389231145
Detroit Pistons,Dallas Mavericks,0.5482036437955313
Houston Rockets,Sacramento Kings,0.6055198449095118
Cleveland Cavaliers,Memphis Grizzlies,0.7991628582841939
Miami Heat,Indiana Pacers,0.5712413509440741
Los Angeles Clippers,Orlando Magic,0.7550424047789748
Toronto Raptors,Philadelphia 76ers,0.9740505914680901
San Antonio Spurs,Boston Celtics,0.7295484955527975
Oklahoma City Thunder,Utah Jazz,0.7206244216101613
Charlotte Hornets,Washington Wizards,0.6193612383955528
Portland Trail Blazers,Denver Nuggets,0.7703495937405105
Golden State Warriors,New York Knicks,0.9229307157033573
Chicago Bulls,Milwaukee Bucks,0.7217958182825097
Indiana Pacers,New Orleans Pelicans,0.7449085452710548
San Antonio Spurs,Phoenix Suns,0.9420352641056449
Boston Celtics,Charlotte Hornets,0.52161677860793
Chicago Bulls,Milwaukee Bucks,0.7257466712003724
Houston Rockets,New Orleans Pelicans,0.6653203793956196
Memphis Grizzlies,Sacramento Kings,0.5654984272758907
Los Angeles Clippers,Miami Heat,0.546070759703533
Orlando Magic,Brooklyn Nets,0.7625826887786245
Los Angeles Lakers,Philadelphia 76ers,0.6768475048189511
Toronto Raptors,Atlanta Hawks,0.6080529483471228
Utah Jazz,Dallas Mavericks,0.5176386364146481
Detroit Pistons,Washington Wizards,0.5439200558200157
Charlotte Hornets,Atlanta Hawks,0.5012463091039123
Cleveland Cavaliers,Los Angeles Lakers,0.9623417179284104
Denver Nuggets,New York Knicks,0.5088787141712666
Indiana Pacers,Detroit Pistons,0.5297191381996478
Golden State Warriors,Portland Trail Blazers,0.7750491501984955
Houston Rockets,Minnesota Timberwolves,0.7171131658407088
Oklahoma City Thunder,Phoenix Suns,0.9122913920144835
Dallas Mavericks,Sacramento Kings,0.6148004085858101
Utah Jazz,Memphis Grizzlies,0.5535192234152595
Boston Celtics,Miami Heat,0.5056048358786828
Toronto Raptors,Orlando Magic,0.7838322422756582
Brooklyn Nets,Philadelphia 76ers,0.7631960971438838
San Antonio Spurs,New Orleans Pelicans,0.9071969476659325
Los Angeles Clippers,Washington Wizards,0.6696362404133871
Chicago Bulls,Detroit Pistons,0.5144813339913235
Dallas Mavericks,Denver Nuggets,0.6520505934433382
Indiana Pacers,Washington Wizards,0.5459146529848149
Minnesota Timberwolves,Phoenix Suns,0.5902942762291613
Oklahoma City Thunder,Atlanta Hawks,0.6287470048782628
Charlotte Hornets,Los Angeles Lakers,0.9213147532562502
Golden State Warriors,Utah Jazz,0.8563731269531332
San Antonio Spurs,Houston Rockets,0.8086510416589221
Los Angeles Clippers,Denver Nuggets,0.7822677271930052
Boston Celtics,Memphis Grizzlies,0.6825385394106083
Miami Heat,Orlando Magic,0.7122151741588728
Cleveland Cavaliers,Milwaukee Bucks,0.8778662618843004
Indiana Pacers,New York Knicks,0.7110122528843211
New Orleans Pelicans,Philadelphia 76ers,0.8821478727441234
Portland Trail Blazers,Sacramento Kings,0.7472604916412048
Toronto Raptors,Brooklyn Nets,0.926729159156903
Atlanta Hawks,Minnesota Timberwolves,0.7857027113776109
Chicago Bulls,Washington Wizards,0.5486285032020393
Cleveland Cavaliers,Milwaukee Bucks,0.8768452420006954
Detroit Pistons,Memphis Grizzlies,0.5801199814695392
Oklahoma City Thunder,New Orleans Pelicans,0.8599387578270423
Houston Rockets,Phoenix Suns,0.8015222571524354
Portland Trail Blazers,Dallas Mavericks,0.542071246273513
Utah Jazz,Sacramento Kings,0.6260278731883469
Golden State Warriors,Brooklyn Nets,0.9665431539219044
Boston Celtics,Indiana Pacers,0.579575484716758
San Antonio Spurs,Los Angeles Clippers,0.648938384425233
Miami Heat,Los Angeles Lakers,0.9268130039450412
Orlando Magic,New York Knicks,0.5698050962771586
Oklahoma City Thunder,Boston Celtics,0.5997920106451542
Charlotte Hornets,Chicago Bulls,0.5750717466392955
Cleveland Cavaliers,Brooklyn Nets,0.9432060918924163
Atlanta Hawks,Denver Nuggets,0.7650513230255318
Golden State Warriors,Detroit Pistons,0.8240878591301359
Los Angeles Clippers,Dallas Mavericks,0.6922759903647809
Houston Rockets,Memphis Grizzlies,0.5532738082107479
Washington Wizards,Milwaukee Bucks,0.7008945610135064
Sacramento Kings,Minnesota Timberwolves,0.6112980093104873
Miami Heat,New Orleans Pelicans,0.7818099199807524
Orlando Magic,Los Angeles Lakers,0.8317180291974232
Phoenix Suns,Philadelphia 76ers,0.7723332146085007
San Antonio Spurs,Portland Trail Blazers,0.778418458383259
Toronto Raptors,Utah Jazz,0.6981692879211768
Golden State Warriors,Cleveland Cavaliers,0.6073711699285993
Los Angeles Clippers,Los Angeles Lakers,0.9401664049397287
Boston Celtics,New York Knicks,0.7702358266033127
Oklahoma City Thunder,Minnesota Timberwolves,0.8648919975199151
San Antonio Spurs,Chicago Bulls,0.8015031720915987
Charlotte Hornets,Brooklyn Nets,0.8993674889961609
Indiana Pacers,Chicago Bulls,0.5001849284707067
Cleveland Cavaliers,Detroit Pistons,0.7396138691369065
Houston Rockets,Phoenix Suns,0.7766885767469409
Los Angeles Clippers,Denver Nuggets,0.7822677271930052
Atlanta Hawks,Minnesota Timberwolves,0.8099849164749562
Dallas Mavericks,New Orleans Pelicans,0.6892545398358183
Memphis Grizzlies,Orlando Magic,0.5527235584140124
Toronto Raptors,Portland Trail Blazers,0.677104156652421
Sacramento Kings,Philadelphia 76ers,0.889215243891848
Washington Wizards,Milwaukee Bucks,0.6767931287102071
Boston Celtics,Memphis Grizzlies,0.6858581747103103
Houston Rockets,Dallas Mavericks,0.5024697408773254
Utah Jazz,Los Angeles Lakers,0.8850900088789084
Oklahoma City Thunder,Miami Heat,0.6121181288362083
Atlanta Hawks,New York Knicks,0.765957451805636
Chicago Bulls,Brooklyn Nets,0.8605800172981684
Denver Nuggets,Minnesota Timberwolves,0.5372083704944726
Detroit Pistons,Milwaukee Bucks,0.7015880825747466
Golden State Warriors,Toronto Raptors,0.7130178744019482
Los Angeles Clippers,New Orleans Pelicans,0.823953247785959
Charlotte Hornets,Orlando Magic,0.7121781544761808
Portland Trail Blazers,Sacramento Kings,0.6486963134582602
San Antonio Spurs,Phoenix Suns,0.9447607104205336
Indiana Pacers,Washington Wizards,0.5584355992466591
Charlotte Hornets,Miami Heat,0.5009809762250242
Cleveland Cavaliers,Boston Celtics,0.6636633327864767
Dallas Mavericks,Los Angeles Lakers,0.8816096235618467
Oklahoma City Thunder,Memphis Grizzlies,0.768394313371256
Toronto Raptors,Phoenix Suns,0.9065508430708784
Utah Jazz,Philadelphia 76ers,0.934328760357884
Atlanta Hawks,Detroit Pistons,0.5758398473860389
Boston Celtics,Miami Heat,0.5334344848917715
Denver Nuggets,Philadelphia 76ers,0.876155667641598
Golden State Warriors,Dallas Mavericks,0.8604779927294556
Los Angeles Clippers,Houston Rockets,0.6819697869848698
Indiana Pacers,Chicago Bulls,0.5205763241674897
